Soram,Darbarmokhli B.O,491111,Patan,DURG,CHATTISGARH
Arasnara (Devara),Devada B.O,491111,Patan,DURG,CHATTISGARH
Darbar Mokhli,Darbarmokhli B.O,491111,Patan,DURG,CHATTISGARH
Ghoradi,Patan S.O (Durg),491111,Patan,DURG,CHATTISGARH
Khudmudi,Mahudajhit B.O,491111,Patan,DURG,CHATTISGARH
Mahuajhit,Mahudajhit B.O,491111,Patan,DURG,CHATTISGARH
Matang,Santra B.O,491111,Patan,DURG,CHATTISGARH
Pahdor,Patan S.O (Durg),491111,Patan,DURG,CHATTISGARH
Patan,Patan S.O (Durg),491111,Patan,DURG,CHATTISGARH
Sankara,Sankra B.O,491111,Patan,DURG,CHATTISGARH
Amleser,Sankra B.O,491111,Patan,DURG,CHATTISGARH
Batanga,Batang B.O,491111,Patan,DURG,CHATTISGARH
Demar,Devada B.O,491111,Patan,DURG,CHATTISGARH
Ghmara,Tarra B.O,491111,Patan,DURG,CHATTISGARH
Jarway,Bhansuli B.O,491111,Patan,DURG,CHATTISGARH
Khapri,Patan S.O (Durg),491111,Patan,DURG,CHATTISGARH
Kharra,Teligundra B.O,491111,Patan,DURG,CHATTISGARH
Khudmuda,Sankra B.O,491111,Patan,DURG,CHATTISGARH
Motipur,Sankra B.O,491111,Patan,DURG,CHATTISGARH
Santra,Santra B.O,491111,Patan,DURG,CHATTISGARH
Sonpur,Khamaria B.O,491111,Patan,DURG,CHATTISGARH
Supkona,Khamaria B.O,491111,Patan,DURG,CHATTISGARH
Bathena,Bathena B.O,491111,Patan,DURG,CHATTISGARH
Bhansuli,Bhansuli B.O,491111,Patan,DURG,CHATTISGARH
Borenda,Kesra B.O,491111,Patan,DURG,CHATTISGARH
Changori,Bathena B.O,491111,Patan,DURG,CHATTISGARH
Jamgaon,Jamgaon B.O,491111,Patan,DURG,CHATTISGARH
Kasahi,Gujra B.O,491111,Patan,DURG,CHATTISGARH
Kopedih,Mahudajhit B.O,491111,Patan,DURG,CHATTISGARH
Kumhli,Patan S.O (Durg),491111,Patan,DURG,CHATTISGARH
Mahuda,Mahudajhit B.O,491111,Patan,DURG,CHATTISGARH
Punaidih,Devada B.O,491111,Patan,DURG,CHATTISGARH
Aamalori,Marra B.O,491221,Durg,DURG,CHATTISGARH
Belodi,Marra B.O,491221,Patan,DURG,CHATTISGARH
Bhanpuri,Anda S.O,491221,Durg,DURG,CHATTISGARH
Daukidih,Matwari B.O,491221,Durg,DURG,CHATTISGARH
Gabdi,Marra B.O,491221,Durg,DURG,CHATTISGARH
Godadih,Kanakote B.O,491221,Patan,DURG,CHATTISGARH
Godela,Nikum B.O,491221,Durg,DURG,CHATTISGARH
Godhiyari,Anda S.O,491221,Durg,DURG,CHATTISGARH
Khursul,Nikum B.O,491221,Durg,DURG,CHATTISGARH
Pauha,Anda S.O,491221,Durg,DURG,CHATTISGARH
Risama,Risama B.O,491221,Durg,DURG,CHATTISGARH
Salauni,Dagania B.O,491221,Durg,DURG,CHATTISGARH
Tiloda,Tamora B.O,491221,Gunderdehi,DURG,CHATTISGARH
